"Formation energies of the G3/99 dataset in units of eV."
"All density functional data, except for B3LYP and PBE0, are computed from ground-state DFT calculations published in Wellendorff, Lundgaard, Mogelhoj, Petzold, Landis, Bligaard, Norskov, and Jacobsen: BEEF-vdW etc., Phys. Rev. B (2012)."
"#","name","experiment","LDA","PBE","RPBE","PBEsol","WC","AM05","BLYP","HCTH407","TPSS","revTPSS","B3LYP","PBE0","vdW-DF","vdW-DF2","optPBE-vdW","optB88-vdW","C09-vdW","BEEF-vdW"
97,"chloroform",-14.880122,-17.92369435,-15.54301677,-14.64161535,-16.6438512,-16.2743924,-16.54644644,-14.45134693,-14.79195779,-14.94492552,-15.05479147,-15.24438131,-14.58524676,-14.55601039,-14.427618,-15.40548766,-15.59035207,-16.3193522,-14.76668693
98,"methylamine",-25.24321815,-28.65306447,-25.62670341,-24.81197186,-26.65690902,-26.11681285,-26.82765385,-25.25890403,-24.81906271,-25.54093872,-25.47123468,-25.13047145,-25.25189097,-25.60859282,-25.67732435,-26.25201564,-26.42494271,-26.81002273,-25.30430935
99,"acetonitrile",-26.69778064,-30.61083091,-27.56934737,-26.56534083,-28.6068538,-28.11960957,-28.61040032,-26.91849103,-26.45042261,-26.92657251,-26.88110478,-26.64574371,-26.56335189,-26.95817897,-27.20604323,-27.73069354,-27.9492747,-28.38066016,-26.80375534
100,"nitromethane",-26.0325838,-32.17894051,-27.80256423,-26.3757977,-29.39308798,-28.72045336,-29.44616167,-26.80750941,-26.27650214,-26.6096739,-26.59109309,-25.86346376,-25.72036218,-26.73937623,-26.93270234,-27.91766932,-28.23394044,-29.04145962,-26.51275857
101,"methyl nitrite",-25.94025727,-31.87098742,-27.6040129,-26.21751524,-29.13898738,-28.47865819,-29.1579899,-26.72242214,-25.97401395,-26.51566958,-26.53209349,-25.83184698,-25.76680081,-26.66433513,-26.8830812,-27.78513992,-28.08672815,-28.82764864,-26.35922797
102,"methylsilane",-27.19793801,-29.87238918,-26.89999669,-26.24497242,-27.91709932,-27.39368683,-28.21309249,-26.70989676,-26.45807145,-27.59400289,-27.7003048,-27.27165701,-27.46245911,-27.33622271,-27.22163734,-27.86344423,-28.02384375,-28.34897008,-26.96138478
103,"formic acid",-21.7214232,-25.81749068,-22.58841883,-21.55633327,-23.75975655,-23.30324609,-23.87807139,-21.92764524,-21.68801886,-21.70506964,-21.58460596,-21.7344325,-21.64336786,-21.751464,-21.84845351,-22.61381666,-22.87410652,-23.46093825,-21.64817296
104,"methyl formate",-34.02414348,-39.87688817,-35.1259485,-33.63413169,-36.84400606,-36.14039209,-36.9815556,-34.13550926,-33.87548268,-34.24938119,-34.18571151,-34.02414348,-33.83334138,-34.14794193,-34.26520974,-35.37917388,-35.7383084,-36.55915653,-33.98935982
105,"acetamide",-37.64819962,-43.79607374,-38.80300642,-37.23245843,-40.5813424,-39.80224753,-40.66710656,-37.76199603,-37.31059535,-37.88121219,-37.75743758,-37.58748986,-37.40102417,-37.89546295,-38.08162949,-39.17034139,-39.52383263,-40.33929104,-37.69632663
106,"aziridine",-31.21620864,-36.05194917,-32.10245484,-30.90740094,-33.53192952,-32.8550125,-33.63517206,-31.16756235,-31.01788239,-31.68294113,-31.69053437,-31.18585377,-30.91699626,-31.49212518,-31.56799781,-32.48731555,-32.73721975,-33.42411492,-31.35186499
107,"cyanogen",-21.782,-26.04465162,-23.36569229,-22.229178,-24.2418377,-23.87374192,-23.96264777,-22.62160003,-21.59387839,-21.96460519,-21.94943645,-21.68227848,-21.59121384,-22.23368935,-22.78331139,-23.04803724,-23.29069181,-23.64888301,-22.1168321
108,"dimethylamine",-37.73088632,-42.89669548,-38.3091991,-37.02325986,-39.91082355,-39.11347925,-40.1050731,-37.5620375,-37.17054121,-38.1385852,-38.10143842,-37.67451297,-37.6484945,-38.10252161,-38.17532225,-39.13722035,-39.4062526,-40.05991044,-37.77142584
109,"trans-ethylamine",-38.03899269,-43.22314831,-38.642824,-37.35779715,-40.24529955,-39.44748128,-40.43847493,-37.87460557,-37.50695017,-38.42269693,-38.34275073,-37.97828293,-37.9305824,-38.39907488,-38.46746003,-39.43917828,-39.70648887,-40.36845718,-38.08318651
110,"ketene",-23.0894,-27.13810533,-24.14973045,-23.15703784,-25.22529325,-24.79127516,-25.29756654,-23.40924533,-23.29683873,-23.32740687,-23.22527054,-22.97239558,-22.78592989,-23.25504615,-23.40209676,-24.07123962,-24.31333886,-24.85100197,-23.22684711
111,"oxirane",-28.2080096,-32.78567734,-29.05040909,-27.9232128,-30.43076748,-29.82966716,-30.59667212,-28.13235416,-28.2347545,-28.58999489,-28.58566358,-28.27305583,-27.98251626,-28.30949067,-28.31476589,-29.27725795,-29.53463067,-30.24437519,-28.24220543
112,"acetaldehyde",-29.35150401,-33.7119765,-30.08460604,-29.00042272,-31.37586463,-30.80042124,-31.54269916,-29.3457862,-29.25419129,-29.54508354,-29.45883847,-29.36017684,-29.23442091,-29.48602473,-29.55493641,-30.38356624,-30.63221206,-31.2313346,-29.35473265
113,"glyoxal",-27.4665,-32.54620857,-28.69769607,-27.39884388,-30.08335995,-29.53993037,-30.13176509,-27.76585389,-27.49738218,-27.53354029,-27.43118255,-27.48393302,-27.27144886,-27.57243541,-27.75829766,-28.63738235,-28.94686788,-29.64059687,-27.50371295
114,"ethanol",-35.12330237,-39.99496841,-35.59010881,-34.35702629,-37.16023166,-36.43491932,-37.4182575,-34.81892689,-34.7269848,-35.28382934,-35.16920612,-35.21436701,-35.11896596,-35.18624474,-35.18590035,-36.21482194,-36.49500213,-37.19400041,-34.95605405
115,"dimethylether",-34.58873558,-39.49164797,-35.1016379,-33.8771321,-36.65776284,-35.93573232,-36.91255543,-34.38223526,-34.22815176,-34.90928894,-34.86986409,-34.60608123,-34.56271711,-34.77104136,-34.78408269,-35.78044315,-36.05959079,-36.73229006,-34.50982418
116,"thiirane",-27.0430457,-31.1789489,-27.73074997,-26.70242504,-29.04756157,-28.48501246,-29.17886045,-26.72910424,-26.98464222,-27.43061547,-27.46161836,-27.18614731,-26.74816975,-27.03592421,-26.95254686,-27.95744942,-28.18137064,-28.913887,-27.05044103
117,"dimethyl sulfoxide",-37.07538135,-42.95872139,-37.86716393,-36.38258221,-39.73830365,-38.92993778,-39.93383787,-36.75061503,-36.66807069,-37.36184653,-37.33211514,-37.35291169,-37.07104494,-37.18895219,-37.13504301,-38.45856113,-38.78767327,-39.70723709,-37.01356014
118,"ethanethiol",-33.33131935,-37.73060376,-33.66557932,-32.55815633,-35.15380292,-34.46513636,-35.38259851,-32.82848054,-32.87110147,-33.5855925,-33.56327929,-33.5004394,-33.27494601,-33.34665113,-33.24674672,-34.30661854,-34.54343472,-35.25543192,-33.170674
119,"dimethyl sulfide",-33.26283007,-37.66768968,-33.65059826,-32.55785667,-35.11745425,-34.43653913,-35.34439985,-32.82305502,-32.86331979,-33.6016764,-33.5875247,-33.39725883,-33.18477467,-33.35555659,-33.25350971,-34.29890529,-34.53232786,-35.22890362,-33.17796818
120,"vinyl fluoride",-24.80090852,-28.75645807,-25.5705043,-24.58517549,-26.71768439,-26.23921507,-26.83698465,-24.90232672,-24.92383489,-25.13334045,-25.1026994,-24.74453517,-24.59276077,-24.90136111,-24.98092259,-25.71827773,-25.95183342,-26.49430449,-24.86944702
121,"ethyl chloride",-29.96752596,-33.8766306,-30.36172296,-29.34700879,-31.686488,-31.08189641,-31.85007053,-29.53788877,-29.69229107,-30.23243622,-30.22324436,-30.0976183,-29.82008797,-29.95499043,-29.88325026,-30.83079672,-31.04636327,-31.6891145,-29.87311167
122,"vinyl chloride",-23.3772603,-26.99560375,-24.16001468,-23.25290879,-25.24288057,-24.7832556,-25.30934696,-23.37248677,-23.49479606,-23.7653629,-23.74908639,-23.30787771,-23.00432891,-23.50986887,-23.53008435,-24.28747905,-24.48596094,-25.04433501,-23.52976304
123,"acrylonitrile",-33.12808042,-38.16333363,-34.31060016,-32.96575556,-35.64588391,-35.05705075,-35.57229205,-33.34435575,-32.86205293,-33.31851068,-33.26060864,-33.18011736,-32.94595114,-33.29236474,-33.63656069,-34.33664602,-34.62942997,-35.21964392,-33.20705174
124,"acetone",-42.42339522,-48.53850479,-43.33275759,-41.76681028,-45.20698376,-44.37247607,-45.3967249,-42.18185327,-42.16595955,-42.65050911,-42.54630728,-42.52313268,-42.21958388,-42.48664881,-42.55511538,-43.78948784,-44.13874776,-45.01941976,-42.34664238
125,"acetic acid",-34.8163538,-40.64362077,-35.84307738,-34.33384567,-37.59430394,-36.88126062,-37.74187912,-34.77795547,-34.61664004,-34.82325677,-34.68036362,-34.92042769,-34.65590659,-34.75719248,-34.8529358,-36.02074561,-36.38243763,-37.2490619,-34.64393077
126,"acetyl fluoride",-30.61405889,-35.87995676,-31.66829024,-30.31730716,-33.21516445,-32.60792778,-33.32622433,-30.68134217,-30.67484526,-30.78240641,-30.72655624,-30.67910506,-30.39723831,-30.5815642,-30.67010343,-31.7158906,-32.04075195,-32.82339446,-30.55990542
127,"acetyl chloride",-28.94420223,-33.83285443,-29.98471332,-28.71733557,-31.45660506,-30.87127094,-31.50910432,-28.90987608,-28.94141869,-29.14505869,-29.10115402,-29.04827611,-28.64932625,-28.95308717,-28.98953113,-30.03715684,-30.32585102,-31.10764737,-28.96001461
128,"propyl chloride",-42.72137607,-48.35159071,-43.28740437,-41.80399723,-45.18438912,-44.32282877,-45.37091316,-42.05803156,-42.28968998,-43.03162217,-43.0165,-42.94253305,-42.49154626,-42.66336891,-42.58473431,-43.93603809,-44.24634697,-45.16649394,-42.56884767
129,"isopropanol",-48.04459433,-54.65298054,-48.65321098,-46.93235127,-50.8128379,-49.82260379,-51.08382752,-47.4609648,-47.44865636,-48.19445677,-48.07977791,-48.26141491,-47.98388457,-48.0237077,-48.02426407,-49.46432374,-49.83970004,-50.82681395,-47.78567904
130,"methyl ethyl ether",-47.46633387,-54.11107455,-48.16207051,-46.46658748,-50.29366859,-49.31272281,-50.57627741,-47.03574482,-46.96639002,-47.83069619,-47.7790484,-47.56173492,-47.34925076,-47.59384113,-47.59877256,-49.0036736,-49.37745703,-50.33323447,-47.32338474
131,"trimethylamine",-50.31024357,-57.27576054,-51.06597819,-49.28570709,-53.26509089,-52.19951165,-53.46536954,-49.91087143,-49.57015407,-50.78850546,-50.80259692,-50.34059845,-50.15413276,-50.67539289,-50.75501158,-52.12175568,-52.48779145,-53.42611056,-50.32312733
132,"furan",-43.0956734,-50.48620948,-44.70726585,-42.734329,-46.8958415,-46.05359239,-46.88140405,-42.95160588,-43.05843896,-43.40963252,-43.37453987,-43.28647553,-42.50158505,-42.89317094,-43.03242788,-44.56524458,-45.03327412,-46.21460631,-43.02395098
133,"thiophene",-41.7545731,-48.60828031,-43.20086954,-41.35350697,-45.29614086,-44.49675856,-45.23876296,-41.34131347,-41.6402393,-42.06085868,-42.06565932,-42.10582246,-41.15614835,-41.46164309,-41.50427172,-43.06713435,-43.48920244,-44.68344457,-41.68891535
134,"pyrrole",-46.4730788,-54.20440577,-48.18781932,-46.13339186,-50.43422691,-49.51766338,-50.3593666,-46.39903623,-46.27641787,-46.91981725,-46.88020071,-46.53378858,-45.76190734,-46.48602539,-46.70049828,-48.19715852,-48.66271765,-49.82914543,-46.55883545
135,"pyridine",-53.6745269,-62.47504668,-55.74716749,-53.38094091,-58.24086299,-57.23735344,-58.06247821,-53.68693728,-53.50133749,-54.17018573,-54.14521334,-53.71355469,-52.81591751,-53.73884217,-54.06362026,-55.67935521,-56.21172549,-57.48211198,-53.85644755
136,"H2",-4.75291,-4.90243455,-4.53431995,-4.57340254,-4.62162073,-4.51071771,-4.82157861,-4.74202731,-4.66761385,-4.82460307,-4.88342192,-4.73122872,-4.98274058,-5.03872384,-4.98167298,-5.00439384,-4.99864609,-4.97552052,-4.85137734
137,"SH",-3.76688,-9.58478964,-3.80599364,-3.71123631,-3.98287403,-3.89435745,-4.05731954,-3.79854778,-3.70600171,-3.86589319,-3.85035048,-3.69750194,-3.76254812,-3.87606895,-3.85486824,-3.9657081,-3.98922987,-4.06602036,-3.79038244
138,"CCH",-11.5182,-13.40369245,-12.00063163,-11.49358524,-12.50252268,-12.2965109,-12.48553053,-11.56097389,-11.60725282,-11.55570665,-11.4802138,-11.6396352,-11.47918798,-11.47641065,-11.61322897,-11.87901691,-11.99804811,-12.24301934,-11.50807692
139,"C2H3",-19.29022285,-21.98551422,-19.8500207,-19.21323158,-20.59840431,-20.24249934,-20.67448439,-19.39181735,-19.4034083,-19.65872029,-19.58442998,-19.16880333,-19.06472945,-19.51860433,-19.59192532,-20.03300529,-20.17575799,-20.49479934,-19.46535026
140,"CH3CO",-25.21021372,-29.31129033,-26.14260865,-25.14473552,-27.28117407,-26.79203114,-27.36438373,-25.41398611,-25.2977001,-25.50596895,-25.41277544,-25.11481267,-24.94135621,-25.42850189,-25.52196751,-26.25064362,-26.47880221,-27.02462089,-25.35737295
141,"H2COH",-17.75508983,-20.65525547,-18.24775045,-17.56080808,-19.10375132,-18.72510738,-19.24142008,-17.85832978,-17.71111022,-17.96893743,-17.84661377,-17.64667954,-17.64667954,-17.92855688,-17.95248379,-18.49807063,-18.66869463,-19.04630822,-17.79068584
142,"CH3O",-17.36118755,-20.15063515,-17.90325212,-17.26862071,-18.69352613,-18.32472034,-18.82606423,-17.54867316,-17.37489632,-17.71449704,-17.64728161,-17.17905827,-17.20074033,-17.67704298,-17.71116508,-18.19299972,-18.34040874,-18.67830608,-17.52156556
143,"CH3CH2O",-30.21046907,-34.71772706,-30.93778953,-29.84474084,-32.28142746,-31.66148769,-32.43787914,-30.20508083,-30.0830378,-30.64642222,-30.57695836,-30.05869467,-29.91559309,-30.51117873,-30.54533334,-31.41130357,-31.65152898,-32.24861053,-30.36538175
144,"CH3S",-16.51942504,-24.74290833,-16.86733185,-16.32058126,-17.60172001,-17.26378404,-17.71322746,-16.4654001,-16.44238766,-16.81991366,-16.79521985,-16.45004246,-16.35897782,-16.69575961,-16.65141664,-17.1674752,-17.28712593,-17.63400775,-16.59327459
145,"C2H5",-26.16251136,-29.34934761,-26.52476468,-25.77356115,-27.52052849,-27.02057597,-27.69873908,-26.00889039,-26.07980293,-26.57866448,-26.49726224,-26.07144672,-25.98038208,-26.38754309,-26.37370051,-27.00840164,-27.1730545,-27.58431406,-26.25109173
146,"C3H7",-39.03491463,-44.04001121,-39.63864569,-38.41626407,-41.21419723,-40.45423047,-41.42503896,-38.71778148,-38.88005862,-39.54924233,-39.44602318,-38.99155051,-38.73136583,-39.2592034,-39.23977153,-40.28086433,-40.54228275,-41.23858891,-39.11286278
147,"t-butyl radical",-51.97837433,-58.73545898,-52.74197267,-51.03317891,-54.90602919,-53.88232169,-55.13985638,-51.39476271,-51.64417259,-52.49686081,-52.38839589,-52.06510256,-51.627125,-52.13176041,-52.10387164,-53.56515873,-53.92192507,-54.91170138,-51.97846714
148,"NO2",-9.86055,-13.95288492,-11.65065373,-10.8038419,-12.49894957,-12.16813154,-12.45251775,-11.0288237,-10.46453947,-10.46578158,-10.45000229,-9.57868627,-9.53098575,-10.69032447,-10.89089761,-11.38943189,-11.57754979,-12.06587461,-10.55087631
149,"methyl allene",-43.34186529,-49.45698262,-44.41602366,-42.85950687,-46.22461214,-45.40988961,-46.36602206,-43.20636955,-43.27630639,-43.78332895,-43.67183906,-43.35487453,-42.96893391,-43.46708215,-43.60250107,-44.74894387,-45.09285046,-45.93611305,-43.40546544
150,"isoprene",-56.807833,-64.54070105,-57.90160016,-55.84800898,-60.29732377,-59.21933192,-60.42841966,-56.27707082,-56.39994474,-57.14590982,-57.05094069,-57.04633641,-56.48260292,-56.7667823,-56.91518966,-58.46059317,-58.90149732,-60.0165631,-56.69929854
151,"cyclopentane",-63.45040537,-71.88895869,-64.34033913,-62.0837694,-67.1487148,-65.88953364,-67.3563825,-62.36878068,-62.75016086,-63.75752164,-63.72107842,-63.8797101,-63.0471191,-63.23128244,-63.1508422,-65.15875665,-65.64623223,-67.03562958,-63.16385555
152,"n-pentane",-69.17689914,-77.8375024,-69.85457635,-67.5995181,-72.73540549,-71.36320813,-73.08357802,-68.12822835,-68.39443463,-69.58513347,-69.50260717,-69.50646642,-68.96875139,-69.18449939,-69.12705475,-71.07673448,-71.54665236,-72.85390838,-68.9283169
153,"neopentane",-69.36020507,-78.00932746,-69.91069779,-67.60678554,-72.84015318,-71.45065928,-73.14799083,-68.13549543,-68.39491095,-69.60394424,-69.56165117,-69.83721033,-69.2604676,-69.27617863,-69.22777763,-71.20910917,-71.67885343,-73.01267117,-69.02686149
154,"1,3-cyclohexadiene",-64.06158349,-73.3226787,-65.53933657,-63.00716969,-68.44429391,-67.22449331,-68.46338625,-63.26692915,-63.59081886,-64.31551185,-64.23322123,-64.48655181,-63.4588223,-63.72892141,-63.85715458,-65.85958915,-66.42059322,-67.89928859,-63.83762536
155,"1,4-cyclohexadiene",-64.07408554,-73.30924385,-65.53307467,-63.00346652,-68.4354457,-67.21784908,-68.4626132,-63.26334684,-63.59095102,-64.3114801,-64.21651035,-64.5120631,-63.47999717,-63.70495982,-63.83181916,-65.83258497,-66.39584261,-67.87283465,-63.81257315
156,"cyclohexane",-76.51863646,-86.6807278,-77.48359633,-74.71149987,-80.89998943,-79.37544408,-81.10000206,-75.08426419,-75.52369122,-76.73023014,-76.69030922,-77.12573407,-76.10667737,-76.17007798,-76.10920262,-78.52326002,-79.11547722,-80.79080326,-76.08971456
157,"n-hexane",-81.93323198,-92.31145037,-82.77502645,-80.05244958,-86.23185552,-84.60162153,-86.60485632,-80.63354999,-80.99064378,-82.36765996,-82.28186167,-82.36253672,-81.65136524,-81.87961971,-81.80925842,-84.17200163,-84.73709731,-86.32847315,-81.61313324
158,"3-methyl pentane)",-81.97560887,-92.35906682,-82.7337935,-79.96776872,-86.21951317,-84.57858694,-86.55568785,-80.56752537,-80.89148053,-82.31845929,-82.24549596,-82.50898748,-81.77179753,-81.8673686,-81.81722722,-84.1841855,-84.75023213,-86.34868176,-81.5945176
159,"toluene",-72.17553734,-82.8249716,-74.15418372,-71.2488743,-77.39571332,-76.06942006,-77.34213314,-71.50658,-71.89408562,-72.57989643,-72.48416824,-72.53112308,-71.2909094,-71.8542954,-72.06515906,-74.28836822,-74.93947086,-76.6069947,-72.07191348
160,"n-heptane",-94.6985369,-106.79150643,-95.7028954,-92.51228641,-99.72932163,-97.84226319,-100.12246252,-93.16997618,-93.5841524,-95.17049908,-95.07515766,-95.23625192,-94.35162398,-94.60917055,-94.5366965,-97.29074589,-97.95231871,-99.81399114,-94.32162066
161,"cyclooctatetraene",-77.13477475,-88.8771877,-79.35495825,-76.08531626,-82.90243608,-81.46811378,-82.74151689,-76.4058899,-76.72786078,-77.39665379,-77.26466191,-77.66381695,-76.28917451,-76.68104534,-77.04578773,-79.3940395,-80.12097742,-81.93502504,-76.93019023
162,"n-octane",-107.46337924,-121.26511567,-108.62216023,-104.96201719,-113.22589639,-111.07994666,-113.64418533,-105.67130453,-106.18150453,-107.94878072,-107.85176156,-108.10950456,-107.05142016,-107.30045727,-107.21666802,-110.38278261,-111.13919348,-113.28715924,-107.00422165
163,"naphthalene",-93.75922889,-108.58604874,-96.99492996,-92.85964815,-101.40848492,-99.72135483,-101.06730655,-92.98590791,-93.59755831,-94.22766488,-94.1252655,-94.29694391,-92.21546641,-93.12280424,-93.5119857,-96.59418649,-97.53419904,-99.9200775,-93.69398186
164,"azulene",-92.29733578,-107.18841262,-95.66363721,-91.56268484,-100.04818061,-98.35598064,-99.71937396,-91.66952364,-92.29096822,-92.88459305,-92.7762964,-92.8350508,-90.79693741,-91.79979852,-92.17745348,-95.24956329,-96.17192169,-98.54939021,-92.35857963
165,"methyl acetate",-47.13838668,-54.68289702,-48.35507781,-46.3827845,-50.65607129,-49.69541135,-50.82110362,-46.95985936,-46.77328134,-47.33580948,-47.24801928,-47.27281543,-46.90855687,-47.13265282,-47.25013296,-48.76701933,-49.22839808,-50.33049383,-46.96264751
166,"t-butanol",-60.97785172,-69.2954693,-61.67370081,-59.45184569,-64.43487553,-63.17772383,-64.70564778,-60.05061385,-60.09943125,-61.05429854,-60.94850622,-61.38113798,-60.91280555,-60.84293245,-60.84449379,-62.70374341,-63.17985045,-64.4566787,-60.59100564
167,"aniline",-66.77782707,-77.49680133,-69.06563743,-66.16900503,-72.19889698,-70.9283232,-72.04135439,-66.53933743,-66.47263513,-67.25255648,-67.13518717,-66.92092865,-65.81080732,-66.72274035,-67.04921052,-69.11751133,-69.76709739,-71.36233357,-66.86576861
168,"phenol",-63.82052602,-74.19941323,-65.95402744,-63.11473051,-69.05864149,-67.85665482,-68.96477332,-63.41162056,-63.62847965,-64.04452008,-63.90152947,-64.14142047,-62.97058937,-63.43208825,-63.67648694,-65.81676396,-66.47585118,-68.11705887,-63.66196901
169,"divinyl ether",-47.84227116,-55.34496396,-49.18021,-47.22334385,-51.41005059,-50.46475163,-51.52693268,-47.73673858,-47.63281155,-48.18783078,-48.08691871,-47.91599016,-47.49102184,-47.86927621,-48.05285093,-49.48169177,-49.92710539,-50.99032994,-47.78013824
170,"tetrahydrofuran",-54.70497873,-62.78475373,-55.73276561,-53.57206027,-58.35889558,-57.23698968,-58.52510804,-53.96481254,-54.08427806,-54.95982885,-54.93579909,-55.04755523,-54.36673863,-54.51822275,-54.498506,-56.35233676,-56.84220298,-58.14927295,-54.41678037
171,"cyclopentanone",-62.28590448,-71.64197012,-63.77016505,-61.26871781,-66.7167398,-65.48086032,-66.81896776,-61.56220285,-61.83240611,-62.50147331,-62.42106929,-62.65449945,-61.70482534,-62.05109587,-62.07924146,-64.17953764,-64.7379879,-66.25872394,-62.07374645
172,"benzoquinone",-61.71678712,-72.62177727,-64.30795744,-61.31211909,-67.43057463,-66.27333344,-67.21655183,-61.63698437,-61.63773152,-61.80799562,-61.67385881,-62.10272774,-60.914551,-61.37066244,-61.74283033,-63.86157897,-64.55738109,-66.23363746,-61.63377414
173,"pyrimidine",-48.06449035,-56.80009587,-50.44353261,-48.1380163,-52.77907601,-51.83597362,-52.49869118,-48.53889837,-47.8826462,-48.71107439,-48.74546419,-47.85200619,-47.11047983,-48.48202143,-48.90593639,-50.33718342,-50.84976764,-52.0172463,-48.49839688
174,"dimethyl sulphone",-42.05917568,-49.27809171,-43.00569213,-41.08762499,-45.35085029,-44.40715878,-45.5313618,-41.50765792,-41.43176506,-42.06599055,-42.02671566,-42.62724558,-42.15024032,-41.83842207,-41.77813487,-43.48611907,-43.94084296,-45.14386818,-41.72328163
175,"chlorobenzene",-58.40163026,-67.77337605,-60.45457697,-57.84513222,-63.29343683,-62.21635489,-63.103611,-57.87842093,-58.33676562,-58.73867579,-58.70720831,-58.76588882,-57.42593768,-57.97140186,-58.15462256,-60.18970495,-60.77837021,-62.34738581,-58.34519604
176,"succinonitrile",-47.87961925,-55.5182267,-49.73002342,-47.65534247,-51.75999948,-50.87887514,-51.54227744,-48.16703806,-47.32499483,-48.08558539,-48.03520617,-47.9750203,-47.50668786,-48.11926468,-48.64509605,-49.73118325,-50.16997198,-51.095507,-47.98955796
177,"1,4-dipyridine",-48.05441232,-56.63677458,-50.28232214,-47.97773929,-52.61422859,-51.67225934,-52.33362736,-48.38855853,-47.71553857,-48.55255632,-48.58166156,-48.0110482,-47.27819466,-48.33264134,-48.76303408,-50.1841014,-50.6965693,-51.85848088,-48.33964477
178,"acetyl acetylene",-41.9857732,-48.61642802,-43.30589788,-41.51942026,-45.22510306,-44.43837068,-45.24898146,-41.88777344,-41.80923157,-42.01554197,-41.88324366,-42.25896713,-41.77328904,-41.82226411,-42.07944785,-43.28463318,-43.6915488,-44.63926117,-41.83252333
179,"crotonaldehyde",-48.74720101,-56.15803094,-50.13451028,-48.22471408,-52.31385897,-51.37614813,-52.43032418,-48.6542085,-48.64279088,-49.09582162,-48.98011976,-48.80357436,-48.33524192,-48.85396527,-49.01762527,-50.43267815,-50.85924705,-51.90763851,-48.79258047
180,"acetic anhydride",-58.95921896,-69.15155686,-60.95533602,-58.26868485,-63.96771491,-62.77008679,-64.05434255,-58.90775539,-58.70199874,-59.09779125,-58.95477681,-59.14568466,-58.47354088,-58.8830479,-59.09862647,-61.11890164,-61.7473842,-63.263715,-58.79213678
181,"2,5-dihydrothiophene",-47.06314343,-54.22319442,-48.21945973,-46.29411835,-50.51236497,-49.57854117,-50.54703242,-46.39848673,-46.63230072,-47.34783096,-47.342071,-47.44041123,-46.57746535,-46.80281997,-46.77319904,-48.46963862,-48.90018865,-50.13444512,-46.87951502
182,"isobutane nitrile",-52.33091214,-59.55055637,-53.42278652,-51.4853391,-55.59894242,-54.59816937,-55.64549735,-51.97036977,-51.64870974,-52.5245408,-52.4701888,-52.57808759,-52.15745568,-52.40199386,-52.63686744,-53.96289569,-54.36851924,-55.3505706,-52.21908899
183,"methyl ethyl ketone",-55.20102005,-63.04062065,-56.26689121,-54.22347544,-58.72048353,-57.6281208,-58.92799855,-54.70613258,-54.76114099,-55.45092973,-55.33864443,-55.41350421,-54.92782613,-55.19891755,-55.26578832,-56.90363827,-57.35209017,-58.51198959,-55.04297612
184,"isobutanal",-54.96327933,-62.68569743,-55.94290203,-53.91320115,-58.38250682,-57.29040926,-58.58689151,-54.39012369,-54.44319622,-55.13814028,-55.04770948,-55.25815531,-54.78115005,-54.93008053,-54.9888813,-56.62424751,-57.0637336,-58.21696531,-54.77039368
185,"1,4-dioxane",-58.74308541,-68.2858957,-60.07912869,-57.49740382,-63.12993145,-61.87858562,-63.24447237,-58.09719338,-57.98596131,-58.93886525,-58.92074986,-59.09867115,-58.38749967,-58.54316311,-58.60742765,-60.70887124,-61.3050231,-62.81566126,-58.39384528
186,"tetrahydrothiophene",-53.37054437,-60.94507408,-54.23498809,-52.18967664,-56.78360593,-55.69898192,-56.90615665,-52.35199836,-52.63700801,-53.60614936,-53.62515209,-53.8735681,-53.01495863,-53.07474963,-52.95054377,-54.85226941,-55.29832551,-56.63083764,-53.05671813
187,"t-butyl chloride",-55.75300391,-63.11259414,-56.38275366,-54.37850819,-58.89869904,-57.76426065,-59.06863671,-54.71125841,-54.98628502,-55.9552759,-55.96068327,-56.19098146,-55.53618333,-55.57855546,-55.51088709,-57.28472379,-57.69686109,-58.91427271,-55.46982101
188,"n-butyl chloride",-55.5095324,-62.82390615,-56.21341448,-54.26075695,-58.67827642,-57.56031749,-58.88782573,-54.58367972,-54.88523023,-55.82288036,-55.79743938,-55.86078173,-55.23633848,-55.38087401,-55.2989974,-57.04739762,-57.45334549,-58.64673488,-55.27113675
189,"tetrahydropyrrole",-57.69575423,-66.0717598,-58.81163956,-56.58464766,-61.48854373,-60.28777266,-61.58884635,-57.00821571,-56.88277611,-58.06275497,-58.05123464,-57.94292968,-57.27945873,-57.72341848,-57.76184766,-59.58783173,-60.06611587,-61.3588274,-57.55386577
190,"nitro-s-butane",-64.61891327,-75.88063584,-66.7727771,-63.91017194,-70.10666411,-68.65328914,-70.19948155,-64.5485477,-64.23258871,-65.17003866,-65.13986723,-64.8574159,-64.18093572,-65.09978567,-65.28316749,-67.48627566,-68.09371557,-69.73915837,-64.82639925
191,"diethyl ether",-60.38320495,-68.72870056,-61.22598804,-59.0592041,-63.92688106,-62.68961625,-64.23371837,-59.7097788,-59.69806674,-60.75587756,-60.68425302,-60.59568911,-60.21842131,-60.44304074,-60.45181872,-62.24715922,-62.71677791,-63.94365476,-60.1546513
192,"1,1-dimethoxy ethane",-64.47112707,-74.21538553,-65.55454145,-62.96580652,-68.69139065,-67.31976993,-68.93903798,-63.78516172,-63.5851138,-64.73663169,-64.6954377,-64.77033946,-64.33669831,-64.4574448,-64.52728868,-66.60136681,-67.18158559,-68.62341902,-64.12259747
